,time_(s),rew_action_rate,rew_balance,rew_forward_progress,rew_height,rew_motor_effort,rew_smoothness,rew_stability,rew_termination,rew_total,rew_success,x,y,z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,global_linear_x,global_linear_y,global_linear_z,global_angular_x,global_angular_y,global_angular_z,front_left,front_right,rear_left,rear_right,position_FL_hip_joint,position_FL_thigh_joint,position_FL_calf_joint,position_FR_hip_joint,position_FR_thigh_joint,position_FR_calf_joint,position_RL_hip_joint,position_RL_thigh_joint,position_RL_calf_joint,position_RR_hip_joint,position_RR_thigh_joint,position_RR_calf_joint,torque_FL_hip_joint,torque_FL_thigh_joint,torque_FL_calf_joint,torque_FR_hip_joint,torque_FR_thigh_joint,torque_FR_calf_joint,torque_RL_hip_joint,torque_RL_thigh_joint,torque_RL_calf_joint,torque_RR_hip_joint,torque_RR_thigh_joint,torque_RR_calf_joint,out_of_limits,rollout
184,3.68,-0.01,36.42,0.54,1.61,-0.01,-17.51,103.32,0.0,124.36,185.0,7.68,12.25,0.88,0.16,-0.02,0.08,1.64,-0.07,-0.81,1.15,-0.42,-1.36,1.15,-0.42,-1.36,99.2,65.7,74.8,0.0,31.8,27.2,-90.4,-9.8,59.3,-156.0,8.9,23.0,-48.0,-5.7,51.6,-106.9,-8.7,4.6,-4.0,14.6,-15.5,-1.5,-12.0,-10.9,22.4,-2.5,0.8,1.7,2,4
186,3.72,-0.01,36.82,0.56,1.63,-0.01,-17.67,104.45,0.0,125.76,187.0,7.69,12.25,0.88,0.17,0.03,0.14,-1.39,-1.63,-1.69,-2.35,-0.61,-1.24,-2.35,-0.61,-1.24,120.7,0.0,0.0,0.0,28.2,32.4,-94.2,-21.7,52.1,-146.7,4.9,31.9,-48.0,-8.4,54.0,-95.1,-14.5,3.1,2.7,15.3,-18.1,0.3,2.7,1.1,22.8,-1.1,-7.0,4.9,1,4
188,3.76,-0.01,37.21,0.57,1.64,-0.01,-17.95,105.59,0.0,127.04,189.0,7.69,12.24,0.88,0.16,-0.03,0.09,-3.82,-1.6,-1.43,-4.36,0.36,-0.24,-4.36,0.36,-0.24,47.4,0.0,0.0,57.0,33.2,36.8,-94.9,-22.5,40.4,-156.0,9.3,41.6,-48.0,-8.7,45.5,-80.0,-13.6,-0.2,3.6,10.9,5.2,-13.6,-1.5,-9.2,22.8,7.5,-4.4,-2.7,2,4
190,3.8,-0.01,37.61,0.59,1.66,-0.01,-18.08,106.73,0.0,128.48,191.0,7.7,12.24,0.88,0.16,-0.04,-0.03,-0.53,-0.22,-0.54,-0.7,0.04,-0.36,-0.7,0.04,-0.36,45.9,0.0,72.2,106.4,40.1,34.9,-89.9,-13.1,42.5,-156.0,14.8,32.8,-48.0,-2.6,48.3,-84.2,-11.7,1.3,8.8,0.2,7.3,-19.7,-7.1,-14.3,21.2,13.9,-11.8,-9.0,2,4
192,3.84,-0.01,38.01,0.6,1.67,-0.01,-18.23,107.86,0.0,129.89,193.0,7.7,12.24,0.88,0.2,0.05,-0.16,2.67,1.69,0.03,3.03,0.19,-0.87,3.03,0.19,-0.87,0.0,0.0,89.1,108.3,40.4,20.2,-79.4,-7.4,53.1,-156.0,16.8,25.5,-48.0,0.5,50.7,-100.4,-2.6,4.8,-4.1,2.6,-0.0,-19.7,-6.8,-18.3,13.7,7.6,-12.0,-4.1,2,4
194,3.88,-0.01,38.41,0.61,1.69,-0.01,-18.31,109.01,0.0,131.38,195.0,7.71,12.23,0.88,0.2,0.02,0.1,1.54,0.53,-0.76,1.33,-0.17,-1.2,1.33,-0.17,-1.2,0.0,0.0,93.5,102.6,35.7,20.4,-86.6,-7.9,57.8,-156.0,13.7,22.7,-48.0,-0.8,52.6,-103.2,-1.6,2.2,0.8,7.2,-4.4,-19.7,-15.0,-19.8,10.0,6.0,-10.6,-1.7,2,4
196,3.92,-0.01,38.81,0.63,1.71,-0.01,-18.39,110.15,0.0,132.88,197.0,7.72,12.23,0.88,0.18,0.02,0.11,0.91,0.4,-0.75,0.75,0.04,-0.99,0.75,0.04,-0.99,63.0,84.2,92.8,0.0,32.2,24.4,-91.5,-9.3,58.1,-156.0,11.7,21.1,-48.0,-1.3,52.1,-103.5,-5.0,2.7,-1.8,12.4,-5.0,-19.7,-16.3,-19.8,18.2,3.9,1.7,-2.1,2,4
198,3.96,-0.01,39.2,0.64,1.72,-0.01,-18.45,111.27,0.0,134.37,199.0,7.72,12.23,0.88,0.19,0.04,0.09,1.88,-0.08,-1.03,1.17,-0.79,-1.62,1.17,-0.79,-1.62,95.5,29.8,52.0,0.0,28.2,26.7,-96.1,-13.5,57.6,-156.0,8.1,21.4,-48.0,-2.5,53.4,-104.1,-8.6,3.6,-1.2,16.2,-16.5,-2.4,-9.0,-2.8,22.8,-5.2,-0.4,1.4,2,4
200,4.0,-0.01,39.6,0.66,1.74,-0.01,-18.54,112.4,0.0,135.84,201.0,7.73,12.22,0.88,0.22,0.03,0.07,-0.4,-0.63,-1.22,-0.94,0.11,-1.08,-0.94,0.11,-1.08,114.6,0.0,0.0,42.2,27.1,29.1,-93.9,-13.8,58.2,-156.0,6.4,29.2,-48.0,-13.0,46.6,-91.6,-15.0,5.7,0.3,13.5,-14.1,-14.8,1.6,-2.0,22.8,1.3,-4.6,6.1,2,4
202,4.04,-0.01,40.0,0.68,1.76,-0.01,-18.65,113.53,0.0,137.29,203.0,7.74,12.22,0.88,0.2,-0.04,0.03,-1.44,-0.5,-0.99,-1.58,0.75,-0.51,-1.58,0.75,-0.51,45.0,0.0,0.0,120.6,30.4,32.0,-93.5,-11.3,57.2,-156.0,7.9,32.4,-48.0,-13.8,42.4,-81.7,-10.6,5.4,7.2,2.0,-0.5,-19.7,0.2,-6.5,21.9,12.7,-8.5,-2.7,2,4
204,4.08,-0.01,40.39,0.69,1.77,-0.02,-18.71,114.68,0.0,138.81,205.0,7.74,12.21,0.88,0.23,-0.01,-0.11,0.36,0.03,-0.24,0.22,-0.16,-0.34,0.22,-0.16,-0.34,45.0,0.0,82.6,110.6,32.9,29.1,-89.5,-8.4,58.6,-156.0,11.2,28.7,-48.0,-9.1,47.6,-88.5,-5.2,4.8,3.2,4.6,-1.5,-19.7,-9.1,-14.7,18.2,10.2,-14.3,-6.5,2,4
206,4.12,-0.01,40.79,0.71,1.79,-0.02,-18.78,115.82,0.0,140.3,207.0,7.75,12.2,0.87,0.2,0.02,0.09,1.08,-0.26,-0.55,0.45,-0.74,-0.89,0.45,-0.74,-0.89,0.0,83.3,93.8,90.2,34.1,23.1,-87.4,-5.6,61.5,-156.0,14.2,23.9,-48.0,-4.6,51.8,-95.7,0.0,4.2,1.2,4.5,-2.4,-19.7,-11.6,-19.8,9.3,6.7,-11.7,-6.9,2,4
208,4.16,-0.01,41.19,0.73,1.8,-0.02,-18.85,116.95,0.0,141.8,209.0,7.76,12.2,0.87,0.2,0.02,0.05,1.15,0.38,-0.74,0.9,-0.28,-1.06,0.9,-0.28,-1.06,14.9,77.8,98.5,23.7,32.7,25.6,-87.0,-7.6,61.1,-156.0,14.1,22.6,-48.0,-3.9,53.7,-99.6,-2.0,2.3,-0.3,9.5,-3.2,-19.7,-16.5,-19.7,8.6,2.4,-3.4,-7.2,2,4
210,4.2,-0.01,41.58,0.74,1.82,-0.02,-18.88,118.08,0.0,143.31,211.0,7.76,12.19,0.87,0.22,0.03,0.08,1.48,0.01,-0.81,0.84,-0.72,-1.27,0.84,-0.72,-1.27,75.3,77.6,79.5,0.0,28.9,28.1,-91.3,-11.0,61.4,-156.0,10.7,22.6,-48.0,-4.5,57.2,-106.4,-6.6,4.1,-3.3,14.5,-14.0,-1.8,-14.6,-13.0,21.7,-0.5,1.5,1.0,2,4
212,4.24,-0.01,41.98,0.76,1.83,-0.02,-19.07,119.2,0.0,144.67,213.0,7.77,12.19,0.88,0.24,0.1,0.18,-1.42,-1.47,-1.51,-2.2,0.62,-1.12,-2.2,0.62,-1.12,117.9,68.4,0.0,0.0,24.9,33.1,-97.4,-23.6,53.7,-145.7,5.7,29.9,-48.0,-8.6,58.8,-96.7,-14.4,3.6,2.1,16.1,-18.9,13.1,2.4,7.0,22.8,-2.5,-5.6,7.2,1,4
214,4.28,-0.01,42.37,0.78,1.85,-0.02,-19.35,120.34,0.0,145.97,215.0,7.78,12.18,0.88,0.25,0.01,0.17,-5.42,-1.96,-1.41,-4.96,3.27,0.12,-4.96,3.27,0.12,48.8,0.0,0.0,0.0,30.1,35.1,-98.7,-24.3,38.3,-155.7,8.2,44.1,-48.0,-9.0,46.6,-73.3,-14.7,-1.1,5.4,17.4,1.7,-5.6,1.0,-10.0,22.8,3.4,-0.5,1.3,2,4
216,4.32,-0.01,42.77,0.8,1.86,-0.02,-19.65,121.48,0.0,147.25,217.0,7.79,12.17,0.89,0.26,-0.01,0.12,-1.18,-0.99,-0.69,-1.62,0.38,-0.27,-1.62,0.38,-0.27,7.0,0.0,68.0,44.5,38.1,29.9,-87.1,-9.4,42.8,-156.0,15.3,38.6,-48.0,0.6,50.1,-76.8,-10.2,3.0,5.0,-4.8,6.3,-19.7,-5.4,-16.5,21.3,14.5,-15.4,-9.1,2,4
218,4.36,-0.01,43.17,0.81,1.88,-0.02,-19.8,122.62,0.0,148.66,219.0,7.79,12.16,0.88,0.13,0.05,-0.12,1.69,1.83,0.11,2.42,-0.31,-0.52,2.42,-0.31,-0.52,0.0,0.0,30.6,51.1,40.4,18.5,-71.3,-8.6,55.1,-156.0,18.5,34.7,-48.0,3.6,54.5,-90.6,-3.3,5.2,-6.3,5.5,-3.8,-19.7,-7.6,-19.5,16.9,8.2,-12.4,-8.7,2,4
220,4.4,-0.01,43.57,0.82,1.9,-0.02,-19.94,123.76,0.0,150.08,221.0,7.79,12.16,0.88,0.12,0.05,0.07,5.02,0.39,0.17,3.08,-3.77,-1.3,3.08,-3.77,-1.3,0.0,0.0,62.4,58.9,38.9,11.3,-82.8,-3.8,58.8,-156.0,15.1,26.5,-48.0,2.6,52.3,-97.2,1.4,9.5,-0.8,5.6,-5.5,-19.7,-11.6,-20.3,10.3,8.0,-9.2,-5.5,2,4
222,4.44,-0.01,43.96,0.83,1.91,-0.02,-20.03,124.9,0.0,151.55,223.0,7.8,12.16,0.88,0.05,0.09,0.11,1.44,0.21,-0.65,0.86,-0.85,-1.04,0.86,-0.85,-1.04,0.0,67.9,129.2,0.0,32.0,19.9,-91.6,-6.4,60.7,-156.0,11.0,24.2,-48.0,1.1,54.3,-99.7,-3.2,4.4,-1.6,10.9,-5.7,-19.7,-16.6,-20.0,15.4,3.4,1.1,-3.5,2,4
224,4.48,-0.01,44.36,0.83,1.93,-0.02,-20.11,126.04,0.0,153.02,225.0,7.8,12.16,0.88,0.04,0.1,0.07,1.6,0.05,-0.94,0.78,-0.96,-1.38,0.78,-0.96,-1.38,92.1,74.2,43.8,0.0,26.5,26.0,-97.4,-12.2,58.8,-156.0,5.3,23.9,-48.0,1.3,55.9,-102.5,-6.5,2.1,0.4,14.0,-18.5,4.7,-7.8,-2.1,22.9,-7.4,-0.3,0.2,2,4
226,4.52,-0.01,44.76,0.84,1.95,-0.02,-20.29,127.17,0.0,154.4,227.0,7.81,12.16,0.89,0.04,0.09,0.13,-1.58,-1.18,-1.3,-1.85,1.17,-0.89,-1.85,1.17,-0.89,132.9,0.0,0.0,12.4,26.0,29.2,-95.1,-18.0,53.0,-152.8,4.1,32.2,-48.0,-8.6,49.7,-92.1,-15.8,3.7,2.1,16.4,-14.1,-16.8,-0.4,-3.9,22.8,-0.9,-4.8,6.9,2,4
228,4.56,-0.01,45.16,0.84,1.97,-0.02,-20.47,128.32,0.0,155.79,229.0,7.81,12.16,0.89,0.05,-0.0,0.07,-2.89,-1.23,-0.95,-2.45,2.17,-0.21,-2.45,2.17,-0.21,34.6,0.0,0.0,44.0,30.7,31.8,-93.6,-14.2,49.2,-156.0,7.8,33.5,-48.0,-9.6,43.5,-79.2,-12.7,5.8,5.4,3.9,2.1,-19.7,1.2,-5.5,22.3,10.5,-7.1,-4.5,2,4
230,4.6,-0.01,45.56,0.84,1.98,-0.02,-20.55,129.47,0.0,157.28,231.0,7.81,12.16,0.89,0.03,0.01,-0.15,0.0,0.57,-0.32,0.46,0.3,-0.36,0.46,0.3,-0.36,35.2,0.0,80.9,114.4,36.0,26.8,-86.2,-8.7,51.9,-156.0,13.8,30.7,-48.0,-3.2,47.6,-87.5,-7.1,8.1,2.0,3.8,0.3,-19.7,-9.5,-13.9,20.5,9.8,-12.7,-5.1,2,4
232,4.64,-0.01,45.96,0.85,2.0,-0.02,-20.65,130.61,0.0,158.74,233.0,7.81,12.16,0.88,0.11,0.05,-0.19,2.24,0.79,-0.12,1.58,-1.6,-0.77,1.58,-1.6,-0.77,0.0,0.0,112.3,85.9,38.2,17.4,-85.5,-5.1,56.5,-156.0,15.6,23.3,-48.0,0.2,48.7,-97.0,-1.6,4.4,1.3,4.3,-3.8,-19.7,-9.3,-19.0,14.5,5.7,-8.4,-5.1,2,4
234,4.68,-0.01,46.36,0.85,2.02,-0.02,-20.72,131.76,0.0,160.24,235.0,7.81,12.16,0.88,0.05,0.05,0.04,0.83,-0.04,-0.65,0.22,-0.57,-0.86,0.22,-0.57,-0.86,0.0,70.5,96.0,82.3,34.3,20.9,-87.7,-4.7,59.5,-156.0,14.7,21.4,-48.0,1.2,52.6,-101.2,-2.4,-2.3,-1.7,8.3,-5.4,-19.7,-16.1,-20.1,13.2,3.9,-9.7,-3.1,2,4
236,4.72,-0.01,46.75,0.86,2.03,-0.02,-20.77,132.91,0.0,161.75,237.0,7.82,12.16,0.88,0.01,0.04,0.05,0.66,0.18,-0.71,0.36,-0.31,-0.87,0.36,-0.31,-0.87,0.0,64.8,93.4,9.1,32.4,21.2,-95.5,-7.1,58.9,-156.0,13.5,19.9,-48.0,0.5,51.6,-101.0,-5.4,0.4,-2.1,15.1,-11.5,-19.7,-17.9,-20.3,21.0,1.1,-1.7,-2.7,2,4
238,4.76,-0.01,47.15,0.86,2.05,-0.02,-20.85,134.04,0.0,163.22,239.0,7.82,12.16,0.88,-0.0,0.06,0.07,1.59,-0.15,-1.09,0.37,-1.13,-1.52,0.37,-1.13,-1.52,0.0,62.6,71.0,7.6,27.8,23.2,-101.1,-11.4,57.5,-156.0,9.7,20.3,-48.0,-4.6,50.1,-101.5,-7.8,3.1,0.1,18.9,-10.3,-17.1,-8.8,-7.8,22.8,-6.3,-2.6,2.4,2,4
240,4.8,-0.01,47.55,0.86,2.07,-0.02,-20.98,135.18,0.0,164.65,241.0,7.82,12.15,0.89,0.04,0.02,0.05,-1.08,-1.61,-1.13,-1.85,0.88,-0.92,-1.85,0.88,-0.92,118.0,80.8,0.0,15.8,28.5,26.6,-95.7,-3.6,61.1,-156.0,10.7,25.9,-48.0,-16.0,40.0,-89.6,-15.1,11.9,0.1,7.0,-1.9,-19.7,0.1,-1.6,22.8,7.3,-2.6,0.9,2,4
242,4.84,-0.01,47.94,0.87,2.08,-0.02,-21.09,136.33,0.0,166.11,243.0,7.82,12.15,0.88,0.12,0.01,-0.18,0.32,-1.29,-1.14,-1.18,-0.35,-1.24,-1.18,-0.35,-1.24,47.2,0.0,72.6,105.3,31.0,37.5,-93.3,0.8,67.6,-156.0,10.0,33.2,-48.0,-18.3,42.6,-85.7,-11.7,8.0,3.2,-5.7,-2.4,-19.7,-1.7,-11.5,21.6,15.7,-6.6,-3.6,2,4
244,4.88,-0.01,48.34,0.87,2.1,-0.02,-21.17,137.49,0.0,167.6,245.0,7.82,12.15,0.87,0.05,-0.01,-0.39,-0.67,0.79,-0.75,0.64,0.95,-0.57,0.64,0.95,-0.57,7.9,0.0,54.0,37.0,34.0,42.1,-94.4,-7.3,67.0,-156.0,11.6,35.9,-48.0,-17.0,47.9,-89.3,-1.8,-0.6,2.1,7.0,-3.9,-19.7,-11.0,-16.0,13.8,9.8,-7.0,-3.6,2,4
246,4.92,-0.01,48.74,0.87,2.11,-0.02,-21.27,138.64,0.0,169.06,247.0,7.82,12.15,0.86,-0.02,0.0,0.11,0.4,-0.01,-0.72,0.07,-0.19,-0.8,0.07,-0.19,-0.8,30.8,70.2,2.6,93.5,35.5,37.0,-93.7,-4.4,66.1,-156.0,11.7,30.8,-48.0,-15.5,48.4,-94.1,-2.9,0.0,1.7,8.5,-6.1,-19.7,-16.1,-19.8,12.2,9.4,-8.5,-3.0,2,4
248,4.96,-0.01,49.13,0.87,2.13,-0.02,-21.34,139.78,0.0,170.55,249.0,7.82,12.15,0.87,-0.05,-0.01,0.16,0.16,0.32,-0.53,0.35,0.03,-0.54,0.35,0.03,-0.54,38.4,24.8,35.6,42.6,34.0,31.2,-88.7,-3.0,63.9,-156.0,12.3,28.9,-48.0,-13.7,47.9,-94.7,-2.3,1.6,-1.4,7.9,-4.7,-19.7,-17.8,-21.0,14.7,6.8,-3.9,-7.2,2,4
250,5.0,-0.01,49.53,0.87,2.14,-0.02,-21.38,140.92,0.0,172.05,251.0,7.82,12.15,0.87,-0.0,-0.02,-0.03,1.01,0.58,-0.68,0.74,-0.7,-0.89,0.74,-0.7,-0.89,47.0,56.9,42.2,23.8,32.2,27.0,-88.6,-4.7,63.2,-156.0,12.5,25.2,-48.0,-10.8,50.2,-100.9,-5.3,1.7,-1.0,14.3,-14.1,-11.9,-16.8,-18.5,21.3,0.5,-4.0,-2.2,2,4
252,5.04,-0.01,49.92,0.87,2.15,-0.02,-21.42,142.05,0.0,173.55,253.0,7.82,12.15,0.87,-0.01,-0.02,0.09,0.17,0.06,-1.21,0.17,0.22,-1.19,0.17,0.22,-1.19,66.6,29.3,23.7,87.6,31.6,26.5,-88.4,-8.4,61.1,-156.0,11.3,25.1,-48.0,-12.2,48.2,-100.2,-8.6,4.6,2.4,10.5,-17.1,-1.7,-1.5,0.9,22.8,-0.6,-9.8,0.2,2,4
254,5.08,-0.01,50.32,0.87,2.17,-0.02,-21.47,143.19,0.0,175.05,255.0,7.82,12.15,0.88,0.02,-0.03,0.05,-1.11,-0.13,-1.29,-0.09,1.46,-0.89,-0.09,1.46,-0.89,113.4,0.0,0.0,81.7,35.1,31.0,-89.2,-9.5,57.3,-156.0,12.1,28.8,-48.0,-14.4,41.9,-92.0,-14.6,8.5,-0.5,6.1,1.8,-19.8,0.4,-3.5,22.5,8.5,-3.4,1.9,2,4
256,5.12,-0.01,50.71,0.88,2.19,-0.02,-21.53,144.33,0.0,176.55,257.0,7.82,12.15,0.87,0.08,-0.04,-0.15,0.35,0.15,-0.79,0.18,-0.09,-0.85,0.18,-0.09,-0.85,84.6,0.0,77.6,107.8,35.2,37.2,-95.8,-9.5,58.4,-156.0,11.6,28.7,-48.0,-16.1,41.0,-87.4,-11.7,4.1,-0.8,0.6,0.4,-19.7,-5.5,-8.9,19.3,13.0,-7.9,-2.3,2,4
258,5.16,-0.01,51.11,0.88,2.2,-0.02,-21.57,145.47,0.0,178.06,259.0,7.81,12.15,0.87,0.02,-0.06,0.12,0.76,-0.49,-0.74,-0.46,-0.45,-0.98,-0.46,-0.45,-0.98,19.4,0.0,78.2,93.8,34.0,37.2,-97.9,-9.9,60.2,-156.0,10.4,27.0,-48.0,-16.5,42.3,-87.9,-3.0,2.2,-2.3,3.2,-1.7,-19.7,-13.5,-17.1,6.8,9.0,-10.6,-4.6,2,4
260,5.2,-0.01,51.5,0.89,2.21,-0.02,-21.63,146.6,0.0,179.55,261.0,7.81,12.15,0.87,0.04,-0.08,0.05,0.9,-0.28,-0.62,-0.28,-0.62,-0.9,-0.28,-0.62,-0.9,15.2,75.2,48.0,58.9,33.4,34.4,-94.7,-8.5,61.5,-156.0,11.2,25.4,-48.0,-14.8,44.8,-91.9,-0.3,0.6,3.4,6.1,-0.5,-19.7,-16.2,-20.0,7.8,7.2,-7.0,-8.7,2,4
262,5.24,-0.01,51.9,0.89,2.23,-0.02,-21.66,147.73,0.0,181.05,263.0,7.81,12.15,0.87,0.06,-0.08,0.02,1.07,-0.28,-0.52,-0.3,-0.81,-0.87,-0.3,-0.81,-0.87,22.5,69.7,44.5,31.1,31.5,30.9,-90.4,-8.5,62.8,-156.0,11.2,24.2,-48.0,-13.0,49.5,-98.9,-2.9,-0.7,1.2,11.9,-5.5,-17.8,-17.1,-19.9,17.7,5.6,-3.0,-5.6,2,4
264,5.28,-0.01,52.29,0.9,2.24,-0.02,-21.74,148.85,0.0,182.51,265.0,7.8,12.14,0.87,0.05,-0.07,0.09,0.35,-0.55,-0.99,-0.39,0.07,-1.12,-0.39,0.07,-1.12,47.0,161.2,30.8,31.4,29.3,27.9,-85.5,-12.0,61.5,-154.9,10.5,24.5,-48.0,-13.1,52.0,-102.6,-5.9,5.5,2.9,9.8,-20.2,19.5,-5.9,1.6,22.8,0.8,-2.1,0.3,2,4
266,5.32,-0.01,52.69,0.9,2.26,-0.02,-21.97,149.99,0.0,183.84,267.0,7.8,12.14,0.88,0.05,-0.09,0.18,-4.58,-1.53,-1.86,-0.5,5.12,-0.54,-0.5,5.12,-0.54,129.7,0.0,0.0,50.6,33.2,31.1,-88.1,-18.8,47.0,-139.7,12.5,33.4,-48.0,-14.6,45.8,-96.3,-16.1,5.3,1.6,10.6,-12.2,-18.5,2.6,-3.9,22.8,5.8,-4.2,-0.8,1,4
268,5.36,-0.01,53.09,0.91,2.27,-0.02,-22.1,151.13,0.0,185.27,269.0,7.8,12.14,0.88,0.15,-0.06,0.01,-3.02,-1.76,-0.95,-1.06,3.47,-0.0,-1.06,3.47,-0.0,49.8,0.0,160.6,96.7,40.6,33.0,-91.1,-14.5,36.8,-156.0,17.0,33.9,-48.0,-12.2,38.8,-90.2,-14.6,3.6,-1.0,3.7,10.5,-19.7,-3.9,-7.4,21.6,11.3,-4.1,-0.2,2,4
270,5.4,-0.01,53.49,0.92,2.29,-0.02,-22.18,152.27,0.0,186.76,271.0,7.79,12.13,0.88,0.16,0.0,-0.14,1.81,-0.03,-0.15,-0.5,-1.68,-0.47,-0.5,-1.68,-0.47,22.0,0.0,91.4,133.2,37.4,32.8,-93.9,-9.5,54.0,-156.0,18.4,34.3,-48.0,-13.0,43.0,-93.4,-12.2,11.9,3.3,3.2,-0.4,-19.7,-8.4,-15.8,17.2,15.0,-8.7,0.0,2,4
272,5.44,-0.01,53.89,0.93,2.3,-0.02,-22.28,153.42,0.0,188.23,273.0,7.79,12.13,0.87,0.12,0.03,-0.38,0.85,2.09,-0.09,1.78,-1.3,-0.48,1.78,-1.3,-0.48,0.0,0.0,85.5,103.1,37.3,32.5,-96.2,-3.3,60.8,-156.0,16.2,32.1,-48.0,-14.9,44.5,-96.5,0.1,-1.1,2.1,0.9,-0.7,-19.7,-12.1,-19.9,7.7,11.1,-5.8,-3.1,2,4
274,5.48,-0.01,54.28,0.94,2.32,-0.02,-22.35,154.56,0.0,189.72,275.0,7.79,12.13,0.87,0.04,-0.01,0.28,1.03,-0.2,-0.43,-0.46,-0.79,-0.67,-0.46,-0.79,-0.67,0.0,70.9,87.6,77.7,34.1,28.9,-91.3,-3.5,64.2,-156.0,13.4,29.0,-48.0,-16.1,46.2,-98.7,-2.4,-2.0,-1.6,11.0,-4.6,-19.7,-16.7,-20.8,11.5,11.8,-4.5,-3.5,2,4
276,5.52,-0.01,54.68,0.94,2.33,-0.02,-22.43,155.72,0.0,191.21,277.0,7.79,12.12,0.87,0.09,-0.0,0.06,1.06,0.5,-0.37,0.21,-1.02,-0.65,0.21,-1.02,-0.65,0.0,68.5,81.8,25.8,32.4,26.0,-91.4,-3.6,63.2,-156.0,13.1,26.9,-48.0,-12.4,49.6,-103.6,-5.7,3.1,-0.1,12.3,-9.6,-15.3,-16.1,-18.8,21.3,3.6,-1.5,-1.0,2,4
278,5.56,-0.01,55.08,0.95,2.35,-0.02,-22.51,156.86,0.0,192.7,279.0,7.79,12.12,0.87,0.1,0.02,0.05,0.56,0.3,-0.9,0.23,-0.36,-1.01,0.23,-0.36,-1.01,66.4,29.2,30.1,25.1,29.5,28.1,-92.6,-8.7,61.6,-155.5,9.4,27.5,-48.0,-14.0,49.7,-102.6,-8.9,4.9,2.7,13.1,-19.1,5.0,-3.6,2.1,22.8,-1.1,-2.8,4.5,2,4
280,5.6,-0.01,55.48,0.96,2.36,-0.02,-22.64,158.01,0.0,194.13,281.0,7.79,12.11,0.88,0.12,0.02,0.1,-1.81,-0.55,-0.92,0.19,2.07,-0.36,0.19,2.07,-0.36,45.9,0.0,0.0,71.7,32.1,31.9,-92.9,-11.3,57.3,-156.0,8.9,34.5,-48.0,-17.4,41.7,-88.3,-14.8,2.4,1.9,10.9,-9.4,-19.7,-0.4,-3.9,22.8,6.4,-2.2,2.0,2,4
282,5.64,-0.01,55.87,0.97,2.38,-0.02,-22.72,159.15,0.0,195.62,283.0,7.79,12.11,0.88,0.15,0.03,0.01,-0.4,-0.29,-0.37,-0.12,0.56,-0.23,-0.12,0.56,-0.23,45.2,0.0,78.4,108.6,35.8,32.9,-89.3,-6.2,57.7,-156.0,9.5,33.8,-48.0,-15.4,40.5,-84.7,-13.4,2.1,8.1,-3.0,2.1,-19.7,-1.7,-10.6,20.8,15.9,-8.8,-5.6,2,4
284,5.68,-0.01,56.27,0.98,2.39,-0.02,-22.83,160.29,0.0,197.08,285.0,7.79,12.1,0.87,0.18,0.09,-0.18,0.76,0.78,0.29,0.43,-1.05,0.02,0.43,-1.05,0.02,0.0,0.0,92.1,120.8,37.8,23.7,-78.4,-8.2,58.7,-156.0,12.7,30.9,-48.0,-12.3,44.3,-98.4,-4.0,4.0,-3.4,4.9,-2.7,-19.7,-6.5,-18.6,14.6,11.4,-10.4,-3.9,2,4
286,5.72,-0.01,56.67,1.0,2.41,-0.02,-22.93,161.44,0.0,198.54,287.0,7.79,12.09,0.87,0.15,0.08,0.13,0.03,0.36,-0.04,0.33,-0.15,-0.05,0.33,-0.15,-0.05,0.0,41.3,91.2,98.7,35.5,22.6,-85.5,-4.3,61.6,-156.0,13.3,26.4,-48.0,-10.1,48.4,-103.1,0.1,6.4,1.4,2.9,-0.3,-19.7,-14.8,-20.3,8.3,9.7,-10.3,-4.3,2,4
288,5.76,-0.01,57.06,1.01,2.42,-0.02,-22.99,162.58,0.0,200.06,289.0,7.79,12.09,0.87,0.18,0.09,0.07,0.39,0.3,-0.16,0.16,-0.4,-0.28,0.16,-0.4,-0.28,42.8,81.0,90.5,9.9,34.7,27.3,-91.3,-4.3,61.6,-156.0,13.9,24.4,-48.0,-7.3,50.5,-106.8,-4.3,2.8,-4.8,10.0,-1.0,-19.7,-15.1,-20.6,15.7,6.9,0.4,-4.7,2,4
290,5.8,-0.01,57.46,1.03,2.44,-0.02,-23.09,163.72,0.0,201.52,291.0,7.79,12.08,0.87,0.21,0.11,0.06,2.41,-0.04,-0.49,-0.83,-1.94,-1.28,-0.83,-1.94,-1.28,83.2,85.9,48.8,0.0,30.1,30.8,-100.0,-8.2,61.7,-156.0,10.6,24.6,-48.0,-4.2,57.3,-109.8,-6.0,4.4,0.9,13.7,-18.8,7.2,-12.8,-3.2,22.8,-5.4,-1.4,2.4,2,4
292,5.84,-0.01,57.86,1.04,2.45,-0.02,-23.25,164.85,0.0,202.92,293.0,7.79,12.07,0.88,0.2,0.12,0.16,-1.49,-1.54,-1.2,-0.54,2.26,-0.79,-0.54,2.26,-0.79,72.9,0.0,0.0,0.0,26.6,36.2,-100.9,-21.3,53.2,-148.3,5.9,35.1,-48.0,-10.5,55.7,-89.7,-15.4,1.6,4.6,16.0,-11.5,-14.5,0.9,-3.0,22.8,-0.8,-8.5,4.8,1,4
